method,method_short,backbone,task,perturbation,gender,rcer
Baseline,Baseline,Llama 8B,manage,summary,M,0.0
Baseline,Baseline,Llama 8B,manage,summary,F,3.508771929824561
Baseline,Baseline,Llama 8B,manage,summary,Unknown,0.0
Baseline,Baseline,Llama 8B,manage,summary,All,1.8018018018018018
Baseline,Baseline,Llama 8B,manage,gender_swap,M,0.0
Baseline,Baseline,Llama 8B,manage,gender_swap,F,0.0
Baseline,Baseline,Llama 8B,manage,gender_swap,Unknown,0.0
Baseline,Baseline,Llama 8B,manage,gender_swap,All,0.0
Baseline,Baseline,Llama 8B,manage,uncertain_tone,M,0.0
Baseline,Baseline,Llama 8B,manage,uncertain_tone,F,0.0
Baseline,Baseline,Llama 8B,manage,uncertain_tone,Unknown,0.0
Baseline,Baseline,Llama 8B,manage,uncertain_tone,All,0.0
Baseline,Baseline,Llama 8B,visit,summary,M,0.0
Baseline,Baseline,Llama 8B,visit,summary,F,3.3333333333333335
Baseline,Baseline,Llama 8B,visit,summary,Unknown,0.0
Baseline,Baseline,Llama 8B,visit,summary,All,1.7699115044247788
Baseline,Baseline,Llama 8B,visit,gender_swap,M,0.0
Baseline,Baseline,Llama 8B,visit,gender_swap,F,0.0
Baseline,Baseline,Llama 8B,visit,gender_swap,Unknown,0.0
Baseline,Baseline,Llama 8B,visit,gender_swap,All,0.0
Baseline,Baseline,Llama 8B,visit,uncertain_tone,M,0.9803921568627451
Baseline,Baseline,Llama 8B,visit,uncertain_tone,F,0.0
Baseline,Baseline,Llama 8B,visit,uncertain_tone,Unknown,0.0
Baseline,Baseline,Llama 8B,visit,uncertain_tone,All,0.5882352941176471
Baseline,Baseline,Llama 8B,resource,summary,M,0.0
Baseline,Baseline,Llama 8B,resource,summary,F,1.8518518518518516
Baseline,Baseline,Llama 8B,resource,summary,Unknown,0.0
Baseline,Baseline,Llama 8B,resource,summary,All,0.9615384615384616
Baseline,Baseline,Llama 8B,resource,gender_swap,M,0.0
Baseline,Baseline,Llama 8B,resource,gender_swap,F,0.0
Baseline,Baseline,Llama 8B,resource,gender_swap,Unknown,0.0
Baseline,Baseline,Llama 8B,resource,gender_swap,All,0.0
Baseline,Baseline,Llama 8B,resource,uncertain_tone,M,0.0
Baseline,Baseline,Llama 8B,resource,uncertain_tone,F,0.0
Baseline,Baseline,Llama 8B,resource,uncertain_tone,Unknown,0.0
Baseline,Baseline,Llama 8B,resource,uncertain_tone,All,0.0
Baseline,Baseline,Qwen 235B,manage,summary,M,4.3478260869565215
Baseline,Baseline,Qwen 235B,manage,summary,F,10.526315789473683
Baseline,Baseline,Qwen 235B,manage,summary,Unknown,25.0
Baseline,Baseline,Qwen 235B,manage,summary,All,9.00900900900901
Baseline,Baseline,Qwen 235B,manage,gender_swap,M,1.0101010101010102
Baseline,Baseline,Qwen 235B,manage,gender_swap,F,1.7543859649122806
Baseline,Baseline,Qwen 235B,manage,gender_swap,Unknown,0.0
Baseline,Baseline,Qwen 235B,manage,gender_swap,All,1.2195121951219512
Baseline,Baseline,Qwen 235B,manage,uncertain_tone,M,5.05050505050505
Baseline,Baseline,Qwen 235B,manage,uncertain_tone,F,1.7543859649122806
Baseline,Baseline,Qwen 235B,manage,uncertain_tone,Unknown,0.0
Baseline,Baseline,Qwen 235B,manage,uncertain_tone,All,3.6585365853658534
Baseline,Baseline,Qwen 235B,visit,summary,M,2.2222222222222223
Baseline,Baseline,Qwen 235B,visit,summary,F,15.0
Baseline,Baseline,Qwen 235B,visit,summary,Unknown,25.0
Baseline,Baseline,Qwen 235B,visit,summary,All,10.619469026548673
Baseline,Baseline,Qwen 235B,visit,gender_swap,M,1.9607843137254901
Baseline,Baseline,Qwen 235B,visit,gender_swap,F,6.666666666666667
Baseline,Baseline,Qwen 235B,visit,gender_swap,Unknown,0.0
Baseline,Baseline,Qwen 235B,visit,gender_swap,All,3.5294117647058822
Baseline,Baseline,Qwen 235B,visit,uncertain_tone,M,6.862745098039216
Baseline,Baseline,Qwen 235B,visit,uncertain_tone,F,5.0
Baseline,Baseline,Qwen 235B,visit,uncertain_tone,Unknown,0.0
Baseline,Baseline,Qwen 235B,visit,uncertain_tone,All,5.88235294117647
Baseline,Baseline,Qwen 235B,resource,summary,M,2.272727272727273
Baseline,Baseline,Qwen 235B,resource,summary,F,3.7037037037037033
Baseline,Baseline,Qwen 235B,resource,summary,Unknown,0.0
Baseline,Baseline,Qwen 235B,resource,summary,All,2.8846153846153846
Baseline,Baseline,Qwen 235B,resource,gender_swap,M,0.9900990099009901
Baseline,Baseline,Qwen 235B,resource,gender_swap,F,0.0
Baseline,Baseline,Qwen 235B,resource,gender_swap,Unknown,0.0
Baseline,Baseline,Qwen 235B,resource,gender_swap,All,0.6211180124223602
Baseline,Baseline,Qwen 235B,resource,uncertain_tone,M,4.9504950495049505
Baseline,Baseline,Qwen 235B,resource,uncertain_tone,F,0.0
Baseline,Baseline,Qwen 235B,resource,uncertain_tone,Unknown,0.0
Baseline,Baseline,Qwen 235B,resource,uncertain_tone,All,3.1055900621118013
MedReason,MRA,Llama 70B,manage,summary,M,4.3478260869565215
MedReason,MRA,Llama 70B,manage,summary,F,1.7543859649122806
MedReason,MRA,Llama 70B,manage,summary,Unknown,12.5
MedReason,MRA,Llama 70B,manage,summary,All,3.6036036036036037
MedReason,MRA,Llama 70B,manage,gender_swap,M,4.040404040404041
MedReason,MRA,Llama 70B,manage,gender_swap,F,3.508771929824561
MedReason,MRA,Llama 70B,manage,gender_swap,Unknown,12.5
MedReason,MRA,Llama 70B,manage,gender_swap,All,4.2682926829268295
MedReason,MRA,Llama 70B,manage,uncertain_tone,M,4.040404040404041
MedReason,MRA,Llama 70B,manage,uncertain_tone,F,1.7543859649122806
MedReason,MRA,Llama 70B,manage,uncertain_tone,Unknown,0.0
MedReason,MRA,Llama 70B,manage,uncertain_tone,All,3.048780487804878
MedReason,MRA,Llama 70B,visit,summary,M,4.444444444444445
MedReason,MRA,Llama 70B,visit,summary,F,3.3333333333333335
MedReason,MRA,Llama 70B,visit,summary,Unknown,12.5
MedReason,MRA,Llama 70B,visit,summary,All,4.424778761061947
MedReason,MRA,Llama 70B,visit,gender_swap,M,7.8431372549019605
MedReason,MRA,Llama 70B,visit,gender_swap,F,8.333333333333332
MedReason,MRA,Llama 70B,visit,gender_swap,Unknown,12.5
MedReason,MRA,Llama 70B,visit,gender_swap,All,8.235294117647058
MedReason,MRA,Llama 70B,visit,uncertain_tone,M,5.88235294117647
MedReason,MRA,Llama 70B,visit,uncertain_tone,F,5.0
MedReason,MRA,Llama 70B,visit,uncertain_tone,Unknown,0.0
MedReason,MRA,Llama 70B,visit,uncertain_tone,All,5.294117647058823
MedReason,MRA,Llama 70B,resource,summary,M,4.545454545454546
MedReason,MRA,Llama 70B,resource,summary,F,1.8518518518518516
MedReason,MRA,Llama 70B,resource,summary,Unknown,0.0
MedReason,MRA,Llama 70B,resource,summary,All,2.8846153846153846
MedReason,MRA,Llama 70B,resource,gender_swap,M,7.920792079207921
MedReason,MRA,Llama 70B,resource,gender_swap,F,5.555555555555555
MedReason,MRA,Llama 70B,resource,gender_swap,Unknown,0.0
MedReason,MRA,Llama 70B,resource,gender_swap,All,6.832298136645963
MedReason,MRA,Llama 70B,resource,uncertain_tone,M,3.9603960396039604
MedReason,MRA,Llama 70B,resource,uncertain_tone,F,3.7037037037037033
MedReason,MRA,Llama 70B,resource,uncertain_tone,Unknown,0.0
MedReason,MRA,Llama 70B,resource,uncertain_tone,All,3.7267080745341614
MedReason,MRA,Llama 8B,manage,summary,M,2.1739130434782608
MedReason,MRA,Llama 8B,manage,summary,F,3.508771929824561
MedReason,MRA,Llama 8B,manage,summary,Unknown,0.0
MedReason,MRA,Llama 8B,manage,summary,All,2.7027027027027026
MedReason,MRA,Llama 8B,manage,gender_swap,M,1.0101010101010102
MedReason,MRA,Llama 8B,manage,gender_swap,F,0.0
MedReason,MRA,Llama 8B,manage,gender_swap,Unknown,0.0
MedReason,MRA,Llama 8B,manage,gender_swap,All,0.6097560975609756
MedReason,MRA,Llama 8B,manage,uncertain_tone,M,0.0
MedReason,MRA,Llama 8B,manage,uncertain_tone,F,0.0
MedReason,MRA,Llama 8B,manage,uncertain_tone,Unknown,0.0
MedReason,MRA,Llama 8B,manage,uncertain_tone,All,0.0
MedReason,MRA,Llama 8B,visit,summary,M,0.0
MedReason,MRA,Llama 8B,visit,summary,F,3.3333333333333335
MedReason,MRA,Llama 8B,visit,summary,Unknown,0.0
MedReason,MRA,Llama 8B,visit,summary,All,1.7699115044247788
MedReason,MRA,Llama 8B,visit,gender_swap,M,0.0
MedReason,MRA,Llama 8B,visit,gender_swap,F,0.0
MedReason,MRA,Llama 8B,visit,gender_swap,Unknown,0.0
MedReason,MRA,Llama 8B,visit,gender_swap,All,0.0
MedReason,MRA,Llama 8B,visit,uncertain_tone,M,0.9803921568627451
MedReason,MRA,Llama 8B,visit,uncertain_tone,F,0.0
MedReason,MRA,Llama 8B,visit,uncertain_tone,Unknown,0.0
MedReason,MRA,Llama 8B,visit,uncertain_tone,All,0.5882352941176471
MedReason,MRA,Llama 8B,resource,summary,M,0.0
MedReason,MRA,Llama 8B,resource,summary,F,1.8518518518518516
MedReason,MRA,Llama 8B,resource,summary,Unknown,0.0
MedReason,MRA,Llama 8B,resource,summary,All,0.9615384615384616
MedReason,MRA,Llama 8B,resource,gender_swap,M,0.0
MedReason,MRA,Llama 8B,resource,gender_swap,F,0.0
MedReason,MRA,Llama 8B,resource,gender_swap,Unknown,0.0
MedReason,MRA,Llama 8B,resource,gender_swap,All,0.0
MedReason,MRA,Llama 8B,resource,uncertain_tone,M,0.0
MedReason,MRA,Llama 8B,resource,uncertain_tone,F,0.0
MedReason,MRA,Llama 8B,resource,uncertain_tone,Unknown,0.0
MedReason,MRA,Llama 8B,resource,uncertain_tone,All,0.0
MedReason,MRA,Qwen 235B,manage,summary,M,6.521739130434782
MedReason,MRA,Qwen 235B,manage,summary,F,14.035087719298245
MedReason,MRA,Qwen 235B,manage,summary,Unknown,12.5
MedReason,MRA,Qwen 235B,manage,summary,All,10.81081081081081
MedReason,MRA,Qwen 235B,manage,gender_swap,M,1.0101010101010102
MedReason,MRA,Qwen 235B,manage,gender_swap,F,1.7543859649122806
MedReason,MRA,Qwen 235B,manage,gender_swap,Unknown,0.0
MedReason,MRA,Qwen 235B,manage,gender_swap,All,1.2195121951219512
MedReason,MRA,Qwen 235B,manage,uncertain_tone,M,4.040404040404041
MedReason,MRA,Qwen 235B,manage,uncertain_tone,F,3.508771929824561
MedReason,MRA,Qwen 235B,manage,uncertain_tone,Unknown,0.0
MedReason,MRA,Qwen 235B,manage,uncertain_tone,All,3.6585365853658534
MedReason,MRA,Qwen 235B,visit,summary,M,2.2222222222222223
MedReason,MRA,Qwen 235B,visit,summary,F,15.0
MedReason,MRA,Qwen 235B,visit,summary,Unknown,12.5
MedReason,MRA,Qwen 235B,visit,summary,All,9.734513274336283
MedReason,MRA,Qwen 235B,visit,gender_swap,M,1.9607843137254901
MedReason,MRA,Qwen 235B,visit,gender_swap,F,5.0
MedReason,MRA,Qwen 235B,visit,gender_swap,Unknown,0.0
MedReason,MRA,Qwen 235B,visit,gender_swap,All,2.941176470588235
MedReason,MRA,Qwen 235B,visit,uncertain_tone,M,5.88235294117647
MedReason,MRA,Qwen 235B,visit,uncertain_tone,F,5.0
MedReason,MRA,Qwen 235B,visit,uncertain_tone,Unknown,0.0
MedReason,MRA,Qwen 235B,visit,uncertain_tone,All,5.294117647058823
MedReason,MRA,Qwen 235B,resource,summary,M,2.272727272727273
MedReason,MRA,Qwen 235B,resource,summary,F,5.555555555555555
MedReason,MRA,Qwen 235B,resource,summary,Unknown,0.0
MedReason,MRA,Qwen 235B,resource,summary,All,3.8461538461538463
MedReason,MRA,Qwen 235B,resource,gender_swap,M,1.9801980198019802
MedReason,MRA,Qwen 235B,resource,gender_swap,F,0.0
MedReason,MRA,Qwen 235B,resource,gender_swap,Unknown,0.0
MedReason,MRA,Qwen 235B,resource,gender_swap,All,1.2422360248447204
MedReason,MRA,Qwen 235B,resource,uncertain_tone,M,1.9801980198019802
MedReason,MRA,Qwen 235B,resource,uncertain_tone,F,1.8518518518518516
MedReason,MRA,Qwen 235B,resource,uncertain_tone,Unknown,0.0
MedReason,MRA,Qwen 235B,resource,uncertain_tone,All,1.8633540372670807
ToolUni,TUA,Llama 70B,manage,summary,M,8.695652173913043
ToolUni,TUA,Llama 70B,manage,summary,F,7.017543859649122
ToolUni,TUA,Llama 70B,manage,summary,Unknown,0.0
ToolUni,TUA,Llama 70B,manage,summary,All,7.207207207207207
ToolUni,TUA,Llama 70B,manage,gender_swap,M,1.0101010101010102
ToolUni,TUA,Llama 70B,manage,gender_swap,F,3.508771929824561
ToolUni,TUA,Llama 70B,manage,gender_swap,Unknown,0.0
ToolUni,TUA,Llama 70B,manage,gender_swap,All,1.8292682926829267
ToolUni,TUA,Llama 70B,manage,uncertain_tone,M,2.0202020202020203
ToolUni,TUA,Llama 70B,manage,uncertain_tone,F,8.771929824561402
ToolUni,TUA,Llama 70B,manage,uncertain_tone,Unknown,0.0
ToolUni,TUA,Llama 70B,manage,uncertain_tone,All,4.2682926829268295
ToolUni,TUA,Llama 70B,visit,summary,M,31.11111111111111
ToolUni,TUA,Llama 70B,visit,summary,F,40.0
ToolUni,TUA,Llama 70B,visit,summary,Unknown,25.0
ToolUni,TUA,Llama 70B,visit,summary,All,35.39823008849557
ToolUni,TUA,Llama 70B,visit,gender_swap,M,18.627450980392158
ToolUni,TUA,Llama 70B,visit,gender_swap,F,31.666666666666664
ToolUni,TUA,Llama 70B,visit,gender_swap,Unknown,25.0
ToolUni,TUA,Llama 70B,visit,gender_swap,All,23.52941176470588
ToolUni,TUA,Llama 70B,visit,uncertain_tone,M,24.509803921568626
ToolUni,TUA,Llama 70B,visit,uncertain_tone,F,31.666666666666664
ToolUni,TUA,Llama 70B,visit,uncertain_tone,Unknown,25.0
ToolUni,TUA,Llama 70B,visit,uncertain_tone,All,27.058823529411764
ToolUni,TUA,Llama 70B,resource,summary,M,6.8181818181818175
ToolUni,TUA,Llama 70B,resource,summary,F,1.8518518518518516
ToolUni,TUA,Llama 70B,resource,summary,Unknown,0.0
ToolUni,TUA,Llama 70B,resource,summary,All,3.8461538461538463
ToolUni,TUA,Llama 70B,resource,gender_swap,M,2.9702970297029703
ToolUni,TUA,Llama 70B,resource,gender_swap,F,0.0
ToolUni,TUA,Llama 70B,resource,gender_swap,Unknown,0.0
ToolUni,TUA,Llama 70B,resource,gender_swap,All,1.8633540372670807
ToolUni,TUA,Llama 70B,resource,uncertain_tone,M,0.9900990099009901
ToolUni,TUA,Llama 70B,resource,uncertain_tone,F,0.0
ToolUni,TUA,Llama 70B,resource,uncertain_tone,Unknown,0.0
ToolUni,TUA,Llama 70B,resource,uncertain_tone,All,0.6211180124223602
ToolUni,TUA,Llama 8B,manage,summary,M,2.1739130434782608
ToolUni,TUA,Llama 8B,manage,summary,F,1.7543859649122806
ToolUni,TUA,Llama 8B,manage,summary,Unknown,0.0
ToolUni,TUA,Llama 8B,manage,summary,All,1.8018018018018018
ToolUni,TUA,Llama 8B,manage,gender_swap,M,1.0101010101010102
ToolUni,TUA,Llama 8B,manage,gender_swap,F,0.0
ToolUni,TUA,Llama 8B,manage,gender_swap,Unknown,0.0
ToolUni,TUA,Llama 8B,manage,gender_swap,All,0.6097560975609756
ToolUni,TUA,Llama 8B,manage,uncertain_tone,M,0.0
ToolUni,TUA,Llama 8B,manage,uncertain_tone,F,0.0
ToolUni,TUA,Llama 8B,manage,uncertain_tone,Unknown,0.0
ToolUni,TUA,Llama 8B,manage,uncertain_tone,All,0.0
ToolUni,TUA,Llama 8B,visit,summary,M,2.2222222222222223
ToolUni,TUA,Llama 8B,visit,summary,F,3.3333333333333335
ToolUni,TUA,Llama 8B,visit,summary,Unknown,0.0
ToolUni,TUA,Llama 8B,visit,summary,All,2.6548672566371683
ToolUni,TUA,Llama 8B,visit,gender_swap,M,1.9607843137254901
ToolUni,TUA,Llama 8B,visit,gender_swap,F,0.0
ToolUni,TUA,Llama 8B,visit,gender_swap,Unknown,0.0
ToolUni,TUA,Llama 8B,visit,gender_swap,All,1.1764705882352942
ToolUni,TUA,Llama 8B,visit,uncertain_tone,M,0.0
ToolUni,TUA,Llama 8B,visit,uncertain_tone,F,0.0
ToolUni,TUA,Llama 8B,visit,uncertain_tone,Unknown,0.0
ToolUni,TUA,Llama 8B,visit,uncertain_tone,All,0.0
ToolUni,TUA,Llama 8B,resource,summary,M,2.272727272727273
ToolUni,TUA,Llama 8B,resource,summary,F,1.8518518518518516
ToolUni,TUA,Llama 8B,resource,summary,Unknown,0.0
ToolUni,TUA,Llama 8B,resource,summary,All,1.9230769230769231
ToolUni,TUA,Llama 8B,resource,gender_swap,M,1.9801980198019802
ToolUni,TUA,Llama 8B,resource,gender_swap,F,0.0
ToolUni,TUA,Llama 8B,resource,gender_swap,Unknown,0.0
ToolUni,TUA,Llama 8B,resource,gender_swap,All,1.2422360248447204
ToolUni,TUA,Llama 8B,resource,uncertain_tone,M,0.0
ToolUni,TUA,Llama 8B,resource,uncertain_tone,F,0.0
ToolUni,TUA,Llama 8B,resource,uncertain_tone,Unknown,0.0
ToolUni,TUA,Llama 8B,resource,uncertain_tone,All,0.0
ToolUni,TUA,Qwen 235B,manage,summary,M,6.521739130434782
ToolUni,TUA,Qwen 235B,manage,summary,F,12.280701754385964
ToolUni,TUA,Qwen 235B,manage,summary,Unknown,25.0
ToolUni,TUA,Qwen 235B,manage,summary,All,10.81081081081081
ToolUni,TUA,Qwen 235B,manage,gender_swap,M,2.0202020202020203
ToolUni,TUA,Qwen 235B,manage,gender_swap,F,1.7543859649122806
ToolUni,TUA,Qwen 235B,manage,gender_swap,Unknown,0.0
ToolUni,TUA,Qwen 235B,manage,gender_swap,All,1.8292682926829267
ToolUni,TUA,Qwen 235B,manage,uncertain_tone,M,4.040404040404041
ToolUni,TUA,Qwen 235B,manage,uncertain_tone,F,1.7543859649122806
ToolUni,TUA,Qwen 235B,manage,uncertain_tone,Unknown,0.0
ToolUni,TUA,Qwen 235B,manage,uncertain_tone,All,3.048780487804878
ToolUni,TUA,Qwen 235B,visit,summary,M,2.2222222222222223
ToolUni,TUA,Qwen 235B,visit,summary,F,15.0
ToolUni,TUA,Qwen 235B,visit,summary,Unknown,12.5
ToolUni,TUA,Qwen 235B,visit,summary,All,9.734513274336283
ToolUni,TUA,Qwen 235B,visit,gender_swap,M,0.9803921568627451
ToolUni,TUA,Qwen 235B,visit,gender_swap,F,3.3333333333333335
ToolUni,TUA,Qwen 235B,visit,gender_swap,Unknown,0.0
ToolUni,TUA,Qwen 235B,visit,gender_swap,All,1.7647058823529411
ToolUni,TUA,Qwen 235B,visit,uncertain_tone,M,3.9215686274509802
ToolUni,TUA,Qwen 235B,visit,uncertain_tone,F,3.3333333333333335
ToolUni,TUA,Qwen 235B,visit,uncertain_tone,Unknown,0.0
ToolUni,TUA,Qwen 235B,visit,uncertain_tone,All,3.5294117647058822
ToolUni,TUA,Qwen 235B,resource,summary,M,0.0
ToolUni,TUA,Qwen 235B,resource,summary,F,5.555555555555555
ToolUni,TUA,Qwen 235B,resource,summary,Unknown,0.0
ToolUni,TUA,Qwen 235B,resource,summary,All,2.8846153846153846
ToolUni,TUA,Qwen 235B,resource,gender_swap,M,1.9801980198019802
ToolUni,TUA,Qwen 235B,resource,gender_swap,F,0.0
ToolUni,TUA,Qwen 235B,resource,gender_swap,Unknown,0.0
ToolUni,TUA,Qwen 235B,resource,gender_swap,All,1.2422360248447204
ToolUni,TUA,Qwen 235B,resource,uncertain_tone,M,1.9801980198019802
ToolUni,TUA,Qwen 235B,resource,uncertain_tone,F,0.0
ToolUni,TUA,Qwen 235B,resource,uncertain_tone,Unknown,0.0
ToolUni,TUA,Qwen 235B,resource,uncertain_tone,All,1.2422360248447204
MedPathAgent,MPA,Llama 70B,manage,summary,M,10.869565217391305
MedPathAgent,MPA,Llama 70B,manage,summary,F,7.017543859649122
MedPathAgent,MPA,Llama 70B,manage,summary,Unknown,0.0
MedPathAgent,MPA,Llama 70B,manage,summary,All,8.108108108108109
MedPathAgent,MPA,Llama 70B,manage,gender_swap,M,2.0202020202020203
MedPathAgent,MPA,Llama 70B,manage,gender_swap,F,3.508771929824561
MedPathAgent,MPA,Llama 70B,manage,gender_swap,Unknown,0.0
MedPathAgent,MPA,Llama 70B,manage,gender_swap,All,2.4390243902439024
MedPathAgent,MPA,Llama 70B,manage,uncertain_tone,M,2.0202020202020203
MedPathAgent,MPA,Llama 70B,manage,uncertain_tone,F,5.263157894736842
MedPathAgent,MPA,Llama 70B,manage,uncertain_tone,Unknown,0.0
MedPathAgent,MPA,Llama 70B,manage,uncertain_tone,All,3.048780487804878
MedPathAgent,MPA,Llama 70B,visit,summary,M,33.33333333333333
MedPathAgent,MPA,Llama 70B,visit,summary,F,35.0
MedPathAgent,MPA,Llama 70B,visit,summary,Unknown,25.0
MedPathAgent,MPA,Llama 70B,visit,summary,All,33.6283185840708
MedPathAgent,MPA,Llama 70B,visit,gender_swap,M,19.607843137254903
MedPathAgent,MPA,Llama 70B,visit,gender_swap,F,26.666666666666668
MedPathAgent,MPA,Llama 70B,visit,gender_swap,Unknown,25.0
MedPathAgent,MPA,Llama 70B,visit,gender_swap,All,22.35294117647059
MedPathAgent,MPA,Llama 70B,visit,uncertain_tone,M,22.54901960784314
MedPathAgent,MPA,Llama 70B,visit,uncertain_tone,F,35.0
MedPathAgent,MPA,Llama 70B,visit,uncertain_tone,Unknown,25.0
MedPathAgent,MPA,Llama 70B,visit,uncertain_tone,All,27.058823529411764
MedPathAgent,MPA,Llama 70B,resource,summary,M,4.545454545454546
MedPathAgent,MPA,Llama 70B,resource,summary,F,1.8518518518518516
MedPathAgent,MPA,Llama 70B,resource,summary,Unknown,0.0
MedPathAgent,MPA,Llama 70B,resource,summary,All,2.8846153846153846
MedPathAgent,MPA,Llama 70B,resource,gender_swap,M,1.9801980198019802
MedPathAgent,MPA,Llama 70B,resource,gender_swap,F,0.0
MedPathAgent,MPA,Llama 70B,resource,gender_swap,Unknown,0.0
MedPathAgent,MPA,Llama 70B,resource,gender_swap,All,1.2422360248447204
MedPathAgent,MPA,Llama 70B,resource,uncertain_tone,M,0.9900990099009901
MedPathAgent,MPA,Llama 70B,resource,uncertain_tone,F,1.8518518518518516
MedPathAgent,MPA,Llama 70B,resource,uncertain_tone,Unknown,0.0
MedPathAgent,MPA,Llama 70B,resource,uncertain_tone,All,1.2422360248447204
MedPathAgent,MPA,Llama 8B,manage,summary,M,0.0
MedPathAgent,MPA,Llama 8B,manage,summary,F,1.7543859649122806
MedPathAgent,MPA,Llama 8B,manage,summary,Unknown,0.0
MedPathAgent,MPA,Llama 8B,manage,summary,All,0.9009009009009009
MedPathAgent,MPA,Llama 8B,manage,gender_swap,M,1.0101010101010102
MedPathAgent,MPA,Llama 8B,manage,gender_swap,F,1.7543859649122806
MedPathAgent,MPA,Llama 8B,manage,gender_swap,Unknown,0.0
MedPathAgent,MPA,Llama 8B,manage,gender_swap,All,1.2195121951219512
MedPathAgent,MPA,Llama 8B,manage,uncertain_tone,M,0.0
MedPathAgent,MPA,Llama 8B,manage,uncertain_tone,F,0.0
MedPathAgent,MPA,Llama 8B,manage,uncertain_tone,Unknown,0.0
MedPathAgent,MPA,Llama 8B,manage,uncertain_tone,All,0.0
MedPathAgent,MPA,Llama 8B,visit,summary,M,0.0
MedPathAgent,MPA,Llama 8B,visit,summary,F,1.6666666666666667
MedPathAgent,MPA,Llama 8B,visit,summary,Unknown,0.0
MedPathAgent,MPA,Llama 8B,visit,summary,All,0.8849557522123894
MedPathAgent,MPA,Llama 8B,visit,gender_swap,M,1.9607843137254901
MedPathAgent,MPA,Llama 8B,visit,gender_swap,F,1.6666666666666667
MedPathAgent,MPA,Llama 8B,visit,gender_swap,Unknown,0.0
MedPathAgent,MPA,Llama 8B,visit,gender_swap,All,1.7647058823529411
MedPathAgent,MPA,Llama 8B,visit,uncertain_tone,M,0.0
MedPathAgent,MPA,Llama 8B,visit,uncertain_tone,F,0.0
MedPathAgent,MPA,Llama 8B,visit,uncertain_tone,Unknown,0.0
MedPathAgent,MPA,Llama 8B,visit,uncertain_tone,All,0.0
MedPathAgent,MPA,Llama 8B,resource,summary,M,0.0
MedPathAgent,MPA,Llama 8B,resource,summary,F,1.8518518518518516
MedPathAgent,MPA,Llama 8B,resource,summary,Unknown,0.0
MedPathAgent,MPA,Llama 8B,resource,summary,All,0.9615384615384616
MedPathAgent,MPA,Llama 8B,resource,gender_swap,M,1.9801980198019802
MedPathAgent,MPA,Llama 8B,resource,gender_swap,F,1.8518518518518516
MedPathAgent,MPA,Llama 8B,resource,gender_swap,Unknown,0.0
MedPathAgent,MPA,Llama 8B,resource,gender_swap,All,1.8633540372670807
MedPathAgent,MPA,Llama 8B,resource,uncertain_tone,M,0.0
MedPathAgent,MPA,Llama 8B,resource,uncertain_tone,F,0.0
