backbone,context_id,perturbation,task,dataset,ablation,n_novel_tools,n_kept_tools,n_dropped,tool_context_len,pred,flipped,raw_text
llama70b3_3,askdocs_180,gender_swap,manage,askdocs,full,5,5,0,1776,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,gender_swap,manage,askdocs,no_europepmc,5,4,1,1459,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,gender_swap,manage,askdocs,no_fda_safety,5,3,2,1402,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,gender_swap,manage,askdocs,no_adverse_rx,5,4,1,1137,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,gender_swap,manage,askdocs,no_novel,5,0,5,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,uncertain_tone,manage,askdocs,full,4,4,0,1384,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,uncertain_tone,manage,askdocs,no_europepmc,4,3,1,1361,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,uncertain_tone,manage,askdocs,no_fda_safety,4,2,2,1373,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,uncertain_tone,manage,askdocs,no_adverse_rx,4,3,1,1329,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,uncertain_tone,manage,askdocs,no_novel,4,0,4,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,uncertain_tone,manage,askdocs,full,1,1,0,1999,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,uncertain_tone,manage,askdocs,no_europepmc,1,0,1,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,uncertain_tone,manage,askdocs,no_fda_safety,1,1,0,1500,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,uncertain_tone,manage,askdocs,no_adverse_rx,1,1,0,1500,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,uncertain_tone,manage,askdocs,no_novel,1,0,1,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_100,summary,visit,askdocs,full,1,1,0,1422,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_100,summary,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_100,summary,visit,askdocs,no_fda_safety,1,1,0,590,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_100,summary,visit,askdocs,no_adverse_rx,1,1,0,590,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_100,summary,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_79,uncertain_tone,manage,oncqa,full,1,1,0,1954,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_79,uncertain_tone,manage,oncqa,no_europepmc,1,0,1,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_79,uncertain_tone,manage,oncqa,no_fda_safety,1,1,0,844,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_79,uncertain_tone,manage,oncqa,no_adverse_rx,1,1,0,910,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,oncqa_79,uncertain_tone,manage,oncqa,no_novel,1,0,1,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,uncertain_tone,manage,askdocs,full,5,5,0,2248,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,uncertain_tone,manage,askdocs,no_europepmc,5,4,1,1619,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,uncertain_tone,manage,askdocs,no_fda_safety,5,3,2,1960,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,uncertain_tone,manage,askdocs,no_adverse_rx,5,4,1,2044,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,uncertain_tone,manage,askdocs,no_novel,5,0,5,0,NO,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_159,summary,visit,askdocs,full,1,1,0,1843,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_159,summary,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_159,summary,visit,askdocs,no_fda_safety,1,1,0,964,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_159,summary,visit,askdocs,no_adverse_rx,1,1,0,1004,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_159,summary,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,summary,visit,askdocs,full,4,4,0,1857,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,summary,visit,askdocs,no_europepmc,4,3,1,1361,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,summary,visit,askdocs,no_fda_safety,4,2,2,1638,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,summary,visit,askdocs,no_adverse_rx,4,3,1,1306,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,summary,visit,askdocs,no_novel,4,0,4,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,summary,visit,askdocs,full,5,5,0,2112,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,summary,visit,askdocs,no_europepmc,5,5,0,1989,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,summary,visit,askdocs,no_fda_safety,5,3,2,1688,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,summary,visit,askdocs,no_adverse_rx,5,4,1,1847,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,summary,visit,askdocs,no_novel,5,0,5,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_162,summary,visit,askdocs,full,3,3,0,2040,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_162,summary,visit,askdocs,no_europepmc,3,3,0,1723,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_162,summary,visit,askdocs,no_fda_safety,3,1,2,1276,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_162,summary,visit,askdocs,no_adverse_rx,3,2,1,1664,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_162,summary,visit,askdocs,no_novel,3,0,3,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,summary,visit,askdocs,full,0,0,0,3,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,summary,visit,askdocs,no_europepmc,0,0,0,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,summary,visit,askdocs,no_fda_safety,0,0,0,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,summary,visit,askdocs,no_adverse_rx,0,0,0,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,summary,visit,askdocs,no_novel,0,0,0,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_34,summary,visit,askdocs,full,1,1,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_34,summary,visit,askdocs,no_europepmc,1,0,1,0,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: yes"
llama70b3_3,askdocs_34,summary,visit,askdocs,no_fda_safety,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_34,summary,visit,askdocs,no_adverse_rx,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_34,summary,visit,askdocs,no_novel,1,0,1,0,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: yes"
llama70b3_3,askdocs_31,summary,visit,askdocs,full,1,1,0,1664,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_31,summary,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_31,summary,visit,askdocs,no_fda_safety,1,1,0,1185,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_31,summary,visit,askdocs,no_adverse_rx,1,1,0,1196,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_31,summary,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_174,summary,visit,askdocs,full,4,4,0,813,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_174,summary,visit,askdocs,no_europepmc,4,3,1,1830,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_174,summary,visit,askdocs,no_fda_safety,4,2,2,959,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_174,summary,visit,askdocs,no_adverse_rx,4,3,1,1369,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_174,summary,visit,askdocs,no_novel,4,0,4,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_38,summary,visit,askdocs,full,1,1,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_38,summary,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_38,summary,visit,askdocs,no_fda_safety,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_38,summary,visit,askdocs,no_adverse_rx,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_38,summary,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_24,summary,visit,askdocs,full,5,5,0,1730,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_24,summary,visit,askdocs,no_europepmc,5,5,0,1983,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_24,summary,visit,askdocs,no_fda_safety,5,3,2,1351,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_24,summary,visit,askdocs,no_adverse_rx,5,4,1,1589,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_24,summary,visit,askdocs,no_novel,5,0,5,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_54,summary,visit,askdocs,full,1,1,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_54,summary,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_54,summary,visit,askdocs,no_fda_safety,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_54,summary,visit,askdocs,no_adverse_rx,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_54,summary,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_62,summary,visit,askdocs,full,2,2,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_62,summary,visit,askdocs,no_europepmc,2,1,1,1101,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_62,summary,visit,askdocs,no_fda_safety,2,1,1,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_62,summary,visit,askdocs,no_adverse_rx,2,2,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_62,summary,visit,askdocs,no_novel,2,0,2,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,summary,visit,askdocs,full,1,1,0,1866,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,summary,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,summary,visit,askdocs,no_fda_safety,1,1,0,1267,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,summary,visit,askdocs,no_adverse_rx,1,1,0,1267,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_75,summary,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,summary,visit,askdocs,full,5,5,0,1447,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,summary,visit,askdocs,no_europepmc,5,4,1,2262,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,summary,visit,askdocs,no_fda_safety,5,3,2,2298,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,summary,visit,askdocs,no_adverse_rx,5,4,1,1896,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_43,summary,visit,askdocs,no_novel,5,0,5,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_85,summary,visit,askdocs,full,1,1,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_85,summary,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: yes
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_85,summary,visit,askdocs,no_fda_safety,1,1,0,1641,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_85,summary,visit,askdocs,no_adverse_rx,1,1,0,1596,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_85,summary,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: yes
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,summary,visit,askdocs,full,1,1,0,1662,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,summary,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,summary,visit,askdocs,no_fda_safety,1,1,0,1499,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,summary,visit,askdocs,no_adverse_rx,1,1,0,1499,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_97,summary,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_88,summary,visit,askdocs,full,1,1,0,1869,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_88,summary,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_88,summary,visit,askdocs,no_fda_safety,1,1,0,1171,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_88,summary,visit,askdocs,no_adverse_rx,1,1,0,1193,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_88,summary,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,gender_swap,visit,askdocs,full,1,1,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,gender_swap,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,gender_swap,visit,askdocs,no_fda_safety,1,1,0,1499,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,gender_swap,visit,askdocs,no_adverse_rx,1,1,0,1499,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_129,gender_swap,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,summary,visit,askdocs,full,5,5,0,2040,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,summary,visit,askdocs,no_europepmc,5,4,1,1930,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,summary,visit,askdocs,no_fda_safety,5,3,2,1329,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,summary,visit,askdocs,no_adverse_rx,5,4,1,1861,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_66,summary,visit,askdocs,no_novel,5,0,5,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,gender_swap,visit,askdocs,full,1,1,0,1235,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,gender_swap,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,gender_swap,visit,askdocs,no_fda_safety,1,1,0,1030,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,gender_swap,visit,askdocs,no_adverse_rx,1,1,0,996,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_183,gender_swap,visit,askdocs,no_novel,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,gender_swap,visit,askdocs,full,4,4,0,1329,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,gender_swap,visit,askdocs,no_europepmc,4,3,1,1077,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,gender_swap,visit,askdocs,no_fda_safety,4,2,2,872,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,gender_swap,visit,askdocs,no_adverse_rx,4,3,1,1352,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_130,gender_swap,visit,askdocs,no_novel,4,0,4,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_133,gender_swap,visit,askdocs,full,4,4,0,1478,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: no"
llama70b3_3,askdocs_133,gender_swap,visit,askdocs,no_europepmc,4,4,0,1620,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_133,gender_swap,visit,askdocs,no_fda_safety,4,2,2,1059,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_133,gender_swap,visit,askdocs,no_adverse_rx,4,3,1,1257,NO,True,"MANAGE: yes
VISIT: no
RESOURCE: no"
llama70b3_3,askdocs_133,gender_swap,visit,askdocs,no_novel,4,0,4,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,gender_swap,visit,askdocs,full,5,5,0,1776,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,gender_swap,visit,askdocs,no_europepmc,5,4,1,1513,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,gender_swap,visit,askdocs,no_fda_safety,5,3,2,1402,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,gender_swap,visit,askdocs,no_adverse_rx,5,4,1,1180,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_180,gender_swap,visit,askdocs,no_novel,5,0,5,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_63,gender_swap,visit,askdocs,full,1,1,0,2000,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_63,gender_swap,visit,askdocs,no_europepmc,1,0,1,0,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_63,gender_swap,visit,askdocs,no_fda_safety,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
llama70b3_3,askdocs_63,gender_swap,visit,askdocs,no_adverse_rx,1,1,0,1500,YES,False,"MANAGE: no
VISIT: yes
RESOURCE: yes"
